genre,house,tech_house,bass_house,dubstep,riddim,dnb,techno,melodic_bass,indie_dance,edm,bass
house,1.0,0.8,0.6,0.1,0.1,0.3,0.4,0.3,0.7,0.5,0.3
tech_house,0.8,1.0,0.5,0.1,0.1,0.2,0.7,0.2,0.5,0.4,0.2
bass_house,0.6,0.5,1.0,0.5,0.4,0.4,0.3,0.5,0.3,0.5,0.6
dubstep,0.1,0.1,0.5,1.0,0.9,0.4,0.1,0.6,0.1,0.4,0.8
riddim,0.1,0.1,0.4,0.9,1.0,0.3,0.1,0.4,0.1,0.3,0.7
dnb,0.3,0.2,0.4,0.4,0.3,1.0,0.3,0.3,0.2,0.4,0.5
techno,0.4,0.7,0.3,0.1,0.1,0.3,1.0,0.1,0.3,0.4,0.2
melodic_bass,0.3,0.2,0.5,0.6,0.4,0.3,0.1,1.0,0.2,0.4,0.6
indie_dance,0.7,0.5,0.3,0.1,0.1,0.2,0.3,0.2,1.0,0.4,0.2
edm,0.5,0.4,0.5,0.4,0.3,0.4,0.4,0.4,0.4,1.0,0.4
bass,0.3,0.2,0.6,0.8,0.7,0.5,0.2,0.6,0.2,0.4,1.0
